time,ref_freq,est_freq,confidence
0.105,0.0,0.0,0.0
0.106,0.0,0.0,0.0
0.107,0.0,0.0,0.0
0.108,0.0,0.0,0.0
0.109,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.111,0.0,0.0,0.0
0.112,0.0,0.0,0.0
0.113,0.0,0.0,0.0
0.114,0.0,0.0,0.0
0.115,0.0,0.0,0.0
0.116,0.0,0.0,0.0
0.117,0.0,0.0,0.0
0.118,0.0,0.0,0.0
0.119,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.121,0.0,0.0,0.0
0.122,0.0,0.0,0.0
0.123,0.0,0.0,0.0
0.124,0.0,0.0,0.0
0.125,0.0,0.0,0.0
0.126,0.0,0.0,0.0
0.127,0.0,0.0,0.0
0.128,0.0,0.0,0.0
0.129,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.131,0.0,0.0,0.0
0.132,0.0,0.0,0.0
0.133,0.0,0.0,0.0
0.134,0.0,0.0,0.0
0.135,0.0,0.0,0.0
0.136,0.0,0.0,0.0
0.137,0.0,0.0,0.0
0.138,0.0,0.0,0.0
0.139,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.141,0.0,0.0,0.0
0.142,0.0,0.0,0.0
0.143,0.0,0.0,0.0
0.144,0.0,0.0,0.0
0.145,0.0,0.0,0.0
0.146,0.0,0.0,0.0
0.147,0.0,0.0,0.0
0.148,0.0,0.0,0.0
0.149,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.151,0.0,0.0,0.0
0.152,0.0,0.0,0.0
0.153,0.0,0.0,0.0
0.154,0.0,0.0,0.0
0.155,0.0,0.0,0.0
0.156,0.0,0.0,0.0
0.157,0.0,0.0,0.0
0.158,0.0,0.0,0.0
0.159,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.161,0.0,0.0,0.0
0.162,0.0,0.0,0.0
0.163,0.0,0.0,0.0
0.164,0.0,0.0,0.0
0.165,0.0,0.0,0.0
0.166,0.0,0.0,0.0
0.167,0.0,0.0,0.0
0.168,0.0,0.0,0.001
0.169,0.0,0.0,0.008
0.17,0.0,0.0,0.037
0.171,0.0,0.0,0.024
0.172,0.0,0.0,0.002
0.173,0.0,0.0,0.0
0.174,0.0,0.0,0.0
0.175,0.0,0.0,0.0
0.176,0.0,0.0,0.0
0.177,0.0,0.0,0.0
0.178,0.0,0.0,0.0
0.179,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.181,0.0,0.0,0.0
0.182,0.0,0.0,0.0
0.183,0.0,0.0,0.0
0.184,0.0,0.0,0.0
0.185,0.0,0.0,0.0
0.186,0.0,0.0,0.0
0.187,0.0,0.0,0.0
0.188,0.0,0.0,0.0
0.189,0.0,0.0,0.0
0.19,0.0,0.0,0.0
0.191,0.0,0.0,0.0
0.192,0.0,0.0,0.0
0.193,0.0,0.0,0.0
0.194,0.0,0.0,0.0
0.195,0.0,0.0,0.0
0.196,0.0,0.0,0.0
0.197,0.0,0.0,0.0
0.198,0.0,0.0,0.0
0.199,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.201,0.0,0.0,0.0
0.202,0.0,0.0,0.0
0.203,0.0,0.0,0.0
0.204,0.0,0.0,0.0
0.205,0.0,0.0,0.0
0.206,0.0,0.0,0.0
0.207,0.0,0.0,0.0
0.208,0.0,0.0,0.0
0.209,0.0,0.0,0.0
0.21,0.0,0.0,0.0
0.211,0.0,0.0,0.0
0.212,0.0,0.0,0.0
0.213,0.0,0.0,0.0
0.214,0.0,0.0,0.0
0.215,0.0,0.0,0.0
0.216,0.0,0.0,0.0
0.217,0.0,0.0,0.0
0.218,0.0,0.0,0.0
0.219,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.221,0.0,0.0,0.0
0.222,0.0,0.0,0.0
0.223,0.0,0.0,0.0
0.224,0.0,0.0,0.0
0.225,0.0,0.0,0.0
0.226,0.0,0.0,0.0
0.227,0.0,0.0,0.0
0.228,0.0,0.0,0.0
0.229,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.231,0.0,0.0,0.0
0.232,0.0,0.0,0.0
0.233,0.0,0.0,0.0
0.234,0.0,0.0,0.0
0.235,0.0,0.0,0.0
0.236,0.0,0.0,0.0
0.237,0.0,0.0,0.0
0.238,0.0,0.0,0.0
0.239,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.241,0.0,0.0,0.0
0.242,0.0,0.0,0.0
0.243,0.0,0.0,0.0
0.244,0.0,0.0,0.0
0.245,0.0,0.0,0.0
0.246,0.0,0.0,0.0
0.247,0.0,0.0,0.0
0.248,0.0,0.0,0.0
0.249,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.251,0.0,0.0,0.0
0.252,0.0,0.0,0.0
0.253,0.0,0.0,0.001
0.254,0.0,0.0,0.001
0.255,0.0,0.0,0.0
0.256,0.0,0.0,0.0
0.257,0.0,0.0,0.0
0.258,0.0,0.0,0.0
0.259,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.261,0.0,0.0,0.0
0.262,0.0,0.0,0.0
0.263,0.0,0.0,0.0
0.264,0.0,0.0,0.0
0.265,0.0,0.0,0.0
0.266,0.0,0.0,0.0
0.267,0.0,0.0,0.0
0.268,0.0,0.0,0.0
0.269,0.0,0.0,0.0
0.27,0.0,0.0,0.0
0.271,0.0,0.0,0.0
0.272,0.0,0.0,0.0
0.273,0.0,0.0,0.0
0.274,0.0,0.0,0.0
0.275,0.0,0.0,0.0
0.276,0.0,0.0,0.0
0.277,0.0,0.0,0.0
0.278,0.0,0.0,0.0
0.279,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.281,0.0,0.0,0.0
0.282,0.0,0.0,0.0
0.283,0.0,0.0,0.0
0.284,0.0,0.0,0.0
0.285,0.0,0.0,0.0
0.286,0.0,0.0,0.0
0.287,0.0,0.0,0.0
0.288,0.0,0.0,0.001
0.289,0.0,0.0,0.001
0.29,0.0,0.0,0.001
0.291,0.0,0.0,0.0
0.292,0.0,0.0,0.0
0.293,0.0,0.0,0.0
0.294,0.0,0.0,0.0
0.295,0.0,0.0,0.0
0.296,0.0,0.0,0.0
0.297,0.0,0.0,0.0
0.298,0.0,0.0,0.0
0.299,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.301,0.0,0.0,0.0
0.302,0.0,0.0,0.0
0.303,0.0,0.0,0.0
0.304,0.0,0.0,0.0
0.305,0.0,0.0,0.0
0.306,0.0,0.0,0.0
0.307,0.0,0.0,0.0
0.308,0.0,0.0,0.0
0.309,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.311,0.0,0.0,0.0
0.312,0.0,0.0,0.0
0.313,0.0,0.0,0.0
0.314,0.0,0.0,0.0
0.315,0.0,0.0,0.0
0.316,0.0,0.0,0.0
0.317,0.0,0.0,0.0
0.318,0.0,0.0,0.0
0.319,0.0,0.0,0.0
0.32,0.0,0.0,0.001
0.321,0.0,0.0,0.001
0.322,0.0,0.0,0.003
0.323,0.0,0.0,0.007
0.324,0.0,0.0,0.009
0.325,0.0,0.0,0.009
0.326,0.0,0.0,0.009
0.327,0.0,0.0,0.011
0.328,0.0,0.0,0.012
0.329,0.0,0.0,0.015
0.33,0.0,0.0,0.018
0.331,0.0,0.0,0.025
0.332,0.0,0.0,0.028
0.333,0.0,0.0,0.026
0.334,0.0,0.0,0.016
0.335,0.0,0.0,0.008
0.336,0.0,0.0,0.005
0.337,0.0,0.0,0.004
0.338,0.0,0.0,0.004
0.339,0.0,0.0,0.005
0.34,0.0,0.0,0.007
0.341,0.0,0.0,0.009
0.342,0.0,0.0,0.009
0.343,0.0,0.0,0.007
0.344,0.0,0.0,0.004
0.345,0.0,0.0,0.003
0.346,0.0,0.0,0.003
0.347,0.0,0.0,0.002
0.348,0.0,0.0,0.002
0.349,0.0,0.0,0.003
0.35,0.0,0.0,0.004
0.351,0.0,0.0,0.005
0.352,0.0,0.0,0.005
0.353,0.0,0.0,0.005
0.354,0.0,0.0,0.004
0.355,0.0,0.0,0.003
0.356,0.0,0.0,0.002
0.357,0.0,0.0,0.001
0.358,0.0,0.0,0.002
0.359,0.0,0.0,0.002
0.36,0.0,0.0,0.003
0.361,0.0,0.0,0.003
0.362,0.0,0.0,0.004
0.363,0.0,0.0,0.006
0.364,0.0,0.0,0.008
0.365,0.0,0.0,0.009
0.366,0.0,0.0,0.01
0.367,0.0,0.0,0.011
0.368,0.0,0.0,0.011
0.369,0.0,0.0,0.01
0.37,0.0,0.0,0.007
0.371,0.0,0.0,0.01
0.372,0.0,0.0,0.011
0.373,0.0,0.0,0.011
0.374,0.0,0.0,0.011
0.375,0.0,0.0,0.01
0.376,934.6690000000001,0.0,0.008
0.377,934.6690000000001,0.0,0.007
0.378,934.6690000000001,0.0,0.006
0.379,934.6690000000001,0.0,0.005
0.38,934.6690000000001,0.0,0.005
0.381,934.6690000000001,0.0,0.007
0.382,934.6690000000001,0.0,0.009
0.383,934.6690000000001,0.0,0.009
0.384,934.6690000000001,0.0,0.009
0.385,934.6690000000001,0.0,0.009
0.386,934.6690000000001,0.0,0.006
0.387,934.6690000000001,0.0,0.004
0.388,934.6690000000001,0.0,0.002
0.389,934.6690000000001,0.0,0.002
0.39,934.6690000000001,0.0,0.001
0.391,934.6690000000001,0.0,0.001
0.392,934.6690000000001,0.0,0.002
0.393,934.6690000000001,0.0,0.002
0.394,934.6690000000001,0.0,0.002
0.395,934.6690000000001,0.0,0.003
0.396,934.6690000000001,0.0,0.008
0.397,934.6690000000001,0.0,0.015
0.398,934.6690000000001,0.0,0.02
0.399,934.6690000000001,0.0,0.025
0.4,934.6690000000001,0.0,0.033
0.401,934.6690000000001,0.0,0.057
0.402,934.6690000000001,0.0,0.095
0.403,934.6690000000001,86.504,0.14
0.404,934.6690000000001,86.634,0.179
0.405,934.6690000000001,86.734,0.188
0.406,934.6690000000001,86.782,0.152
0.407,934.6690000000001,86.813,0.109
0.408,934.6690000000001,0.0,0.085
0.409,934.6690000000001,0.0,0.076
0.41,934.6690000000001,0.0,0.064
0.411,934.6690000000001,0.0,0.052
0.412,934.6690000000001,0.0,0.045
0.413,934.6690000000001,0.0,0.041
0.414,934.6690000000001,0.0,0.036
0.415,934.6690000000001,0.0,0.03
0.416,934.6690000000001,0.0,0.034
0.417,934.6690000000001,0.0,0.043
0.418,934.6690000000001,0.0,0.048
0.419,934.6690000000001,0.0,0.047
0.42,934.6690000000001,0.0,0.045
0.421,934.6690000000001,0.0,0.045
0.422,934.6690000000001,0.0,0.052
0.423,934.6690000000001,0.0,0.065
0.424,934.6690000000001,0.0,0.085
0.425,934.6690000000001,0.0,0.098
0.426,934.6690000000001,0.0,0.092
0.427,934.6690000000001,0.0,0.08
0.428,934.6690000000001,0.0,0.062
0.429,934.6690000000001,0.0,0.043
0.43,934.6690000000001,0.0,0.029
0.431,934.6690000000001,0.0,0.021
0.432,934.6690000000001,0.0,0.018
0.433,934.6690000000001,0.0,0.017
0.434,934.6690000000001,0.0,0.018
0.435,934.6690000000001,0.0,0.018
0.436,934.6690000000001,0.0,0.018
0.437,934.6690000000001,0.0,0.018
0.438,934.6690000000001,0.0,0.021
0.439,934.6690000000001,0.0,0.029
0.44,934.6690000000001,0.0,0.037
0.441,934.6690000000001,0.0,0.039
0.442,934.6690000000001,0.0,0.038
0.443,934.6690000000001,0.0,0.039
0.444,934.6690000000001,0.0,0.04
0.445,934.6690000000001,0.0,0.04
0.446,934.6690000000001,0.0,0.044
0.447,934.6690000000001,0.0,0.053
0.448,934.6690000000001,0.0,0.06
0.449,934.6690000000001,0.0,0.084
0.45,934.6690000000001,440.41,0.11
0.451,934.6690000000001,440.207,0.122
0.452,934.6690000000001,440.067,0.124
0.453,934.6690000000001,440.022,0.127
0.454,934.6690000000001,440.032,0.124
0.455,934.6690000000001,440.071,0.116
0.456,934.6690000000001,440.192,0.113
0.457,934.6690000000001,0.0,0.099
0.458,934.6690000000001,0.0,0.093
0.459,934.6690000000001,0.0,0.086
0.46,934.6690000000001,0.0,0.077
0.461,934.6690000000001,0.0,0.07
0.462,934.6690000000001,0.0,0.058
0.463,934.6690000000001,0.0,0.044
0.464,934.6690000000001,0.0,0.038
0.465,934.6690000000001,0.0,0.031
0.466,934.6690000000001,0.0,0.024
0.467,934.6690000000001,0.0,0.019
0.468,934.6690000000001,0.0,0.015
0.469,934.6690000000001,0.0,0.012
0.47,934.6690000000001,0.0,0.013
0.471,934.6690000000001,0.0,0.017
0.472,934.6690000000001,0.0,0.026
0.473,934.6690000000001,0.0,0.04
0.474,934.6690000000001,0.0,0.061
0.475,934.6690000000001,0.0,0.08
0.476,934.6690000000001,0.0,0.086
0.477,934.6690000000001,0.0,0.079
0.478,934.6690000000001,0.0,0.079
0.479,934.6690000000001,0.0,0.09
0.48,934.6690000000001,461.728,0.1
0.481,934.6690000000001,461.245,0.113
0.482,934.6690000000001,460.54,0.134
0.483,934.6690000000001,460.78,0.144
0.484,934.6690000000001,460.141,0.162
0.485,934.6690000000001,459.944,0.189
0.486,934.6690000000001,459.849,0.222
0.487,934.6690000000001,459.72,0.244
0.488,934.6690000000001,459.501,0.243
0.489,934.6690000000001,459.273,0.242
0.49,934.6690000000001,459.111,0.246
0.491,934.6690000000001,459.031,0.251
0.492,934.6690000000001,459.091,0.25
0.493,934.6690000000001,459.319,0.247
0.494,934.6690000000001,459.535,0.236
0.495,934.6690000000001,459.737,0.226
0.496,934.6690000000001,460.058,0.215
0.497,934.6690000000001,460.458,0.189
0.498,934.6690000000001,460.645,0.149
0.499,934.6690000000001,460.674,0.119
0.5,934.6690000000001,0.0,0.096
0.501,934.6690000000001,0.0,0.078
0.502,934.6690000000001,0.0,0.07
0.503,934.6690000000001,0.0,0.069
0.504,934.6690000000001,0.0,0.075
0.505,934.6690000000001,0.0,0.081
0.506,934.6690000000001,0.0,0.084
0.507,934.6690000000001,0.0,0.08
0.508,934.6690000000001,0.0,0.069
0.509,934.6690000000001,0.0,0.061
0.51,934.6690000000001,0.0,0.056
0.511,934.6690000000001,0.0,0.052
0.512,934.6690000000001,0.0,0.045
0.513,934.6690000000001,0.0,0.041
0.514,934.6690000000001,0.0,0.045
0.515,934.6690000000001,0.0,0.053
0.516,934.6690000000001,0.0,0.058
0.517,934.6690000000001,0.0,0.057
0.518,934.6690000000001,0.0,0.053
0.519,934.6690000000001,0.0,0.056
0.52,934.6690000000001,0.0,0.075
0.521,934.6690000000001,0.0,0.094
0.522,934.6690000000001,130.816,0.105
0.523,934.6690000000001,130.83,0.106
0.524,934.6690000000001,130.851,0.103
0.525,934.6690000000001,0.0,0.096
0.526,934.6690000000001,0.0,0.084
0.527,934.6690000000001,0.0,0.074
0.528,934.6690000000001,0.0,0.068
0.529,934.6690000000001,0.0,0.064
0.53,934.6690000000001,0.0,0.066
0.531,934.6690000000001,0.0,0.07
0.532,934.6690000000001,0.0,0.071
0.533,934.6690000000001,0.0,0.071
0.534,934.6690000000001,0.0,0.073
0.535,934.6690000000001,0.0,0.079
0.536,934.6690000000001,0.0,0.083
0.537,934.6690000000001,0.0,0.077
0.538,934.6690000000001,0.0,0.064
0.539,934.6690000000001,0.0,0.053
0.54,934.6690000000001,0.0,0.043
0.541,934.6690000000001,0.0,0.034
0.542,934.6690000000001,0.0,0.03
0.543,934.6690000000001,0.0,0.028
0.544,934.6690000000001,0.0,0.029
0.545,934.6690000000001,0.0,0.033
0.546,934.6690000000001,0.0,0.036
0.547,934.6690000000001,0.0,0.038
0.548,934.6690000000001,0.0,0.036
0.549,934.6690000000001,0.0,0.032
0.55,934.6690000000001,0.0,0.029
0.551,934.6690000000001,0.0,0.027
0.552,934.6690000000001,0.0,0.025
0.553,934.6690000000001,0.0,0.026
0.554,934.6690000000001,0.0,0.031
0.555,934.6690000000001,0.0,0.038
0.556,934.6690000000001,0.0,0.044
0.557,934.6690000000001,0.0,0.049
0.558,934.6690000000001,0.0,0.049
0.559,934.6690000000001,0.0,0.05
0.56,934.6690000000001,0.0,0.051
0.561,934.6690000000001,0.0,0.057
0.562,934.6690000000001,0.0,0.071
0.563,934.6690000000001,0.0,0.085
0.564,934.6690000000001,0.0,0.095
0.565,934.6690000000001,0.0,0.097
0.566,934.6690000000001,0.0,0.094
0.567,934.6690000000001,0.0,0.087
0.568,934.6690000000001,0.0,0.08
0.569,934.6690000000001,0.0,0.075
0.57,934.6690000000001,0.0,0.08
0.571,934.6690000000001,440.834,0.102
0.572,934.6690000000001,440.696,0.111
0.573,934.6690000000001,440.497,0.105
0.574,934.6690000000001,0.0,0.097
0.575,934.6690000000001,0.0,0.093
0.576,934.6690000000001,0.0,0.086
0.577,934.6690000000001,0.0,0.082
0.578,934.6690000000001,0.0,0.083
0.579,934.6690000000001,0.0,0.091
0.58,934.6690000000001,464.018,0.104
0.581,934.6690000000001,464.296,0.116
0.582,934.6690000000001,464.571,0.116
0.583,934.6690000000001,464.783,0.114
0.584,934.6690000000001,464.906,0.114
0.585,934.6690000000001,464.976,0.122
0.586,934.6690000000001,465.09,0.133
0.587,934.6690000000001,465.305,0.132
0.588,934.6690000000001,465.43,0.118
0.589,934.6690000000001,465.396,0.101
0.59,934.6690000000001,0.0,0.09
0.591,934.6690000000001,0.0,0.08
0.592,934.6690000000001,0.0,0.072
0.593,934.6690000000001,0.0,0.066
0.594,934.6690000000001,0.0,0.066
0.595,934.6690000000001,0.0,0.07
0.596,934.6690000000001,0.0,0.075
0.597,934.6690000000001,0.0,0.074
0.598,934.6690000000001,0.0,0.067
0.599,934.6690000000001,0.0,0.063
0.6,934.6690000000001,0.0,0.069
0.601,934.6690000000001,0.0,0.081
0.602,934.6690000000001,0.0,0.085
0.603,934.6690000000001,0.0,0.085
0.604,934.6690000000001,0.0,0.086
0.605,934.6690000000001,0.0,0.087
0.606,934.6690000000001,0.0,0.082
0.607,934.6690000000001,0.0,0.072
0.608,934.6690000000001,0.0,0.063
0.609,934.6690000000001,0.0,0.062
0.61,934.6690000000001,0.0,0.063
0.611,934.6690000000001,0.0,0.071
0.612,934.6690000000001,0.0,0.089
0.613,934.6690000000001,439.624,0.105
0.614,934.6690000000001,439.482,0.104
0.615,934.6690000000001,439.355,0.104
0.616,934.6690000000001,439.288,0.113
0.617,934.6690000000001,439.234,0.117
0.618,934.6690000000001,464.093,0.108
0.619,934.6690000000001,0.0,0.095
0.62,934.6690000000001,0.0,0.089
0.621,934.6690000000001,0.0,0.091
0.622,934.6690000000001,0.0,0.097
0.623,934.6690000000001,0.0,0.093
0.624,934.6690000000001,0.0,0.083
0.625,934.6690000000001,0.0,0.078
0.626,934.6690000000001,0.0,0.078
0.627,934.6690000000001,0.0,0.076
0.628,934.6690000000001,0.0,0.065
0.629,934.6690000000001,0.0,0.055
0.63,934.6690000000001,0.0,0.047
0.631,934.6690000000001,0.0,0.041
0.632,934.6690000000001,0.0,0.04
0.633,934.6690000000001,0.0,0.041
0.634,934.6690000000001,0.0,0.044
0.635,934.6690000000001,0.0,0.05
0.636,934.6690000000001,0.0,0.06
0.637,934.6690000000001,0.0,0.067
0.638,934.6690000000001,0.0,0.066
0.639,934.6690000000001,0.0,0.058
0.64,934.6690000000001,0.0,0.051
0.641,934.6690000000001,0.0,0.047
0.642,934.6690000000001,0.0,0.052
0.643,934.6690000000001,0.0,0.066
0.644,934.6690000000001,0.0,0.091
0.645,934.6690000000001,130.688,0.12
0.646,934.6690000000001,130.697,0.14
0.647,934.6690000000001,130.732,0.144
0.648,934.6690000000001,130.761,0.134
0.649,934.6690000000001,130.758,0.123
0.65,934.6690000000001,130.755,0.113
0.651,934.6690000000001,130.785,0.104
0.652,934.6690000000001,130.821,0.105
0.653,934.6690000000001,130.811,0.109
0.654,934.6690000000001,130.771,0.107
0.655,934.6690000000001,130.76,0.102
0.656,934.6690000000001,0.0,0.097
0.657,934.6690000000001,0.0,0.088
0.658,934.6690000000001,0.0,0.071
0.659,934.6690000000001,0.0,0.061
0.66,934.6690000000001,0.0,0.058
0.661,934.6690000000001,0.0,0.059
0.662,934.6690000000001,0.0,0.067
0.663,934.6690000000001,0.0,0.071
0.664,934.6690000000001,0.0,0.066
0.665,934.6690000000001,0.0,0.059
0.666,934.6690000000001,0.0,0.055
0.667,934.6690000000001,0.0,0.053
0.668,934.6690000000001,0.0,0.053
0.669,934.6690000000001,0.0,0.051
0.67,934.6690000000001,0.0,0.046
0.671,934.6690000000001,0.0,0.043
0.672,934.6690000000001,0.0,0.037
0.673,934.6690000000001,0.0,0.031
0.674,934.6690000000001,0.0,0.028
0.675,934.6690000000001,0.0,0.029
0.676,934.6690000000001,0.0,0.033
0.677,934.6690000000001,0.0,0.04
0.678,934.6690000000001,0.0,0.049
0.679,934.6690000000001,0.0,0.055
0.68,934.6690000000001,0.0,0.066
0.681,934.6690000000001,0.0,0.076
0.682,934.6690000000001,0.0,0.077
0.683,934.6690000000001,0.0,0.074
0.684,934.6690000000001,0.0,0.071
0.685,934.6690000000001,0.0,0.069
0.686,934.6690000000001,0.0,0.073
0.687,934.6690000000001,0.0,0.076
0.688,934.6690000000001,0.0,0.076
0.689,934.6690000000001,0.0,0.079
0.69,934.6690000000001,0.0,0.083
0.691,934.6690000000001,0.0,0.082
0.692,934.6690000000001,0.0,0.077
0.693,934.6690000000001,0.0,0.075
0.694,934.6690000000001,0.0,0.078
0.695,934.6690000000001,0.0,0.087
0.696,934.6690000000001,464.855,0.104
0.697,934.6690000000001,465.11,0.114
0.698,934.6690000000001,465.307,0.11
0.699,934.6690000000001,0.0,0.093
0.7,934.6690000000001,0.0,0.072
0.701,934.6690000000001,0.0,0.06
0.702,934.6690000000001,0.0,0.055
0.703,934.6690000000001,0.0,0.053
0.704,934.6690000000001,0.0,0.054
0.705,934.6690000000001,0.0,0.056
0.706,934.6690000000001,0.0,0.061
0.707,934.6690000000001,0.0,0.063
0.708,934.6690000000001,0.0,0.062
0.709,934.6690000000001,0.0,0.06
0.71,934.6690000000001,0.0,0.059
0.711,934.6690000000001,0.0,0.061
0.712,934.6690000000001,0.0,0.07
0.713,934.6690000000001,0.0,0.078
0.714,934.6690000000001,0.0,0.08
0.715,934.6690000000001,0.0,0.078
0.716,934.6690000000001,0.0,0.078
0.717,934.6690000000001,0.0,0.081
0.718,934.6690000000001,0.0,0.084
0.719,934.6690000000001,0.0,0.083
0.72,934.6690000000001,0.0,0.083
0.721,934.6690000000001,0.0,0.084
0.722,934.6690000000001,0.0,0.083
0.723,934.6690000000001,0.0,0.079
0.724,934.6690000000001,0.0,0.071
0.725,934.6690000000001,0.0,0.059
0.726,934.6690000000001,0.0,0.051
0.727,934.6690000000001,0.0,0.048
0.728,934.6690000000001,0.0,0.047
0.729,934.6690000000001,0.0,0.048
0.73,934.6690000000001,0.0,0.048
0.731,934.6690000000001,0.0,0.054
0.732,934.6690000000001,0.0,0.058
0.733,934.6690000000001,0.0,0.055
0.734,934.6690000000001,0.0,0.05
0.735,934.6690000000001,0.0,0.045
0.736,934.6690000000001,0.0,0.045
0.737,934.6690000000001,0.0,0.05
0.738,934.6690000000001,0.0,0.057
0.739,934.6690000000001,0.0,0.061
0.74,934.6690000000001,0.0,0.066
0.741,934.6690000000001,0.0,0.071
0.742,934.6690000000001,0.0,0.074
0.743,934.6690000000001,0.0,0.07
0.744,934.6690000000001,0.0,0.069
0.745,934.6690000000001,0.0,0.069
0.746,934.6690000000001,0.0,0.073
0.747,934.6690000000001,0.0,0.093
0.748,934.6690000000001,466.316,0.109
0.749,934.6690000000001,466.324,0.111
0.75,934.6690000000001,466.35,0.104
0.751,934.6690000000001,0.0,0.094
0.752,934.6690000000001,0.0,0.087
0.753,934.6690000000001,0.0,0.082
0.754,934.6690000000001,0.0,0.075
0.755,934.6690000000001,0.0,0.068
0.756,934.6690000000001,0.0,0.065
0.757,934.6690000000001,0.0,0.069
0.758,934.6690000000001,0.0,0.075
0.759,934.6690000000001,0.0,0.074
0.76,934.6690000000001,0.0,0.063
0.761,934.6690000000001,0.0,0.051
0.762,934.6690000000001,0.0,0.044
0.763,934.6690000000001,0.0,0.043
0.764,934.6690000000001,0.0,0.042
0.765,934.6690000000001,0.0,0.043
0.766,934.6690000000001,0.0,0.052
0.767,934.6690000000001,0.0,0.05
0.768,934.6690000000001,0.0,0.043
0.769,934.6690000000001,0.0,0.041
0.77,934.6690000000001,0.0,0.04
0.771,934.6690000000001,0.0,0.038
0.772,934.6690000000001,0.0,0.035
